ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,temperature,humidity,precipitation,weather_description,,Traffic_Level,Distance (km),TARGET
86C2,COIMBRES20DEL02,20,4.5,10.994136,76.963303,11.074136,77.043303,Meal ,motorcycle ,25.01,73,0,mist,,High,15.4,39.98333333
7C03,MYSRES16DEL03,27,4.5,12.316967,76.603067,12.376967,76.663067,Drinks ,electric_scooter ,18.29,81,0,scattered clouds,,Moderate,14.88,41.05
54BD,MUMRES16DEL02,30,5,19.120083,72.907385,19.200083,72.987385,Meal ,motorcycle ,24.42,49,0,clear sky,,High,19.11,36.15
5787,INDORES08DEL02,27,5,22.725748,75.898497,22.745748,75.918497,Meal ,scooter ,17.05,72,0,haze,,Low,5.8,18.95
BD26,JAPRES13DEL02,24,4.8,26.846156,75.8023,26.926156,75.8823,Drinks ,motorcycle ,19.98,68,0,haze,,High,18.08,50.88333333
4A14,VADRES16DEL02,27,4.6,0,0,0.08,0.08,Snack ,scooter ,26.25,85,0,overcast clouds,,N/A,N/A,#VALUE!
13CA,VADRES03DEL02,36,4.7,22.32,73.17,22.34,73.19,Snack ,scooter ,22.89,42,0,clear sky,,Low,5.51,16.13333333
74EE,COIMBRES17DEL02,33,4.6,11.026117,76.944652,11.156117,77.074652,Drinks ,motorcycle ,25.1,73,0,mist,,Very High,26.45,67.15
3B7C,CHENRES20DEL03,32,4.4,12.975996,80.221898,13.005996,80.251898,Meal ,scooter ,26.43,88,0,mist,,Moderate,6.67,27.93333333
2713,MYSRES17DEL02,38,4.7,12.326356,76.619103,12.376356,76.669103,Meal ,motorcycle ,18.4,81,0,scattered clouds,,Moderate,11.89,29
BA54,MUMRES11DEL02,34,4.8,18.994237,72.825553,19.044237,72.875553,Drinks ,motorcycle ,27.01,44,0,smoke,,High,10.43,48.85
5D2A,COIMBRES02DEL01,28,4.9,11.022477,76.995667,11.132477,77.105667,Meal ,motorcycle ,25.15,73,0,mist,,High,21.28,46.25
DF49,LUDHRES05DEL02,22,4.7,30.905562,75.832841,30.925562,75.852841,Snack ,electric_scooter ,18.94,57,0,clear sky,,Low,3.65,20
44C9,MUMRES11DEL01,31,4.8,18.994237,72.825553,19.034237,72.865553,Meal ,motorcycle ,26.99,44,0,smoke,,Moderate,8.82,33.8
7B26,MUMRES16DEL01,34,4.8,19.120083,72.907385,19.130083,72.917385,Drinks ,motorcycle ,26.71,44,0,smoke,,Low,2.48,25.01666667
3D8A,VADRES07DEL03,25,4.6,0,0,0.03,0.03,Snack ,electric_scooter ,26.28,85,0.1,light rain,,N/A,N/A,#N/A
8FFD,CHENRES15DEL01,31,4.6,13.026286,80.275235,13.066286,80.315235,Snack ,motorcycle ,26.51,87,0,mist,,Moderate,8.21,30.25
A3EC,HYDRES01DEL01,33,4.5,17.410371,78.437225,17.450371,78.477225,Snack ,scooter ,21.56,64,0,broken clouds,,Moderate,9.22,32.05
24C8,COIMBRES05DEL01,23,4.9,11.022169,76.999594,11.062169,77.039594,Drinks ,scooter ,24.96,73,0,mist,,Moderate,8.74,34.51666667
CF90,BHPRES08DEL02,30,4.3,23.232537,77.429845,23.362537,77.559845,Meal ,motorcycle ,18.45,58,0,clear sky,,Very High,31.39,59.11666667
3DD3,COIMBRES14DEL02,32,3.9,11.003681,76.975525,11.133681,77.105525,Drinks ,motorcycle ,25.15,73,0,mist,,Very High,24.96,65.03333333
6FE,INDORES15DEL01,29,4.6,22.760072,75.892574,22.830072,75.962574,Buffet ,scooter ,17.18,53,0,clear sky,,Moderate,12.85,31.15
E059,KNPRES13DEL03,39,4.6,26.481547,80.299775,26.621547,80.439775,Snack ,motorcycle ,20.03,56,0,clear sky,,Very High,30.72,75.33333333
7C45,VADRES13DEL02,31,4.9,22.310237,73.158921,22.440237,73.288921,Buffet ,electric_scooter ,22.47,44,0,clear sky,,High,24.65,41
A787,JAPRES08DEL01,27,4.7,26.910262,75.783013,27.020262,75.893013,Drinks ,motorcycle ,19.9,46,0,clear sky,,Very High,22.01,59.06666667
3245,RANCHIRES16DEL03,21,4.1,23.371292,85.327872,23.461292,85.417872,Drinks ,scooter ,17.78,68,0,clear sky,,High,18.12,49.68333333
154C,RANCHIRES06DEL01,30,5,23.357804,85.325146,23.367804,85.335146,Drinks ,scooter ,17.74,68,0,clear sky,,Very Low,2.16,19.43333333
BCFB,INDORES05DEL03,31,5,22.727021,75.884167,22.757021,75.914167,Snack ,motorcycle ,17.08,72,0,haze,,Moderate,6.16,26.51666667
A948,SURRES14DEL02,32,4,21.157729,72.768726,21.207729,72.818726,Snack ,motorcycle ,23.26,43,0,clear sky,,Moderate,10.36,26.78333333
48CF,JAPRES04DEL03,20,4.6,26.902328,75.794257,26.992328,75.884257,Snack ,motorcycle ,19.96,46,0,clear sky,,High,17.04,49.31666667
BF39,BHPRES12DEL01,29,4.6,0,0,0.04,0.04,Buffet ,bicycle ,26.28,85,0,broken clouds,,N/A,N/A,#VALUE!
FE5,RANCHIRES13DEL01,38,4.7,23.374989,85.335486,23.414989,85.375486,Buffet ,motorcycle ,17.72,68,0,clear sky,,High,8.16,34.43333333
8.00E+07,MYSRES01DEL02,25,4.2,12.311072,76.654878,12.331072,76.674878,Snack ,motorcycle ,18.21,81,0,broken clouds,,Low,5.19,20.3
D595,KOCRES16DEL02,35,4.5,10.003064,76.307589,10.083064,76.387589,Buffet ,scooter ,23.91,88,0,mist,,High,18.84,47.25
50BA,JAPRES18DEL02,39,4.8,26.913987,75.752891,26.933987,75.772891,Buffet ,motorcycle ,19.64,68,0,haze,,Low,4.13,16.16666667
934A,CHENRES17DEL02,21,4.3,13.045479,80.23311,13.065479,80.25311,Snack ,motorcycle ,26.43,88,0,mist,,Low,4.46,25.48333333
A798,HYDRES02DEL02,29,4.7,17.41233,78.449654,17.46233,78.499654,Snack ,motorcycle ,21.4,64,0,broken clouds,,Moderate,10.22,30.41666667
A672,MUMRES08DEL03,20,4.3,19.065838,72.832658,19.155838,72.922658,Buffet ,scooter ,26.69,44,0,smoke,,Very High,20.12,66.03333333
284B,JAPRES04DEL01,27,4.7,26.902328,75.794257,27.012328,75.904257,Drinks ,scooter ,19.9,46,0,clear sky,,Very High,20.18,60.48333333
53A0,MUMRES19DEL01,26,4.9,19.131141,72.813074,19.201141,72.883074,Snack ,scooter ,26.52,44,0,smoke,,Very High,19.04,61.85
AA1F,HYDRES03DEL02,21,4.7,17.422819,78.449578,17.472819,78.499578,Meal ,motorcycle ,21.39,63,0,broken clouds,,Moderate,11.17,28.45
6ADD,VADRES09DEL02,36,4.9,0,0,0.08,0.08,Snack ,scooter ,26.25,85,0,overcast clouds,,N/A,N/A,#VALUE!
464C,VADRES010DEL03,25,4.9,22.310329,73.169083,22.340329,73.199083,Meal ,scooter ,22.85,43,0,clear sky,,Low,6.97,14.4
88BD,JAPRES05DEL02,31,4.7,26.905287,75.794592,27.035287,75.924592,Meal ,motorcycle ,19.81,47,0,clear sky,,Very High,31.09,67.63333333
7442,JAPRES04DEL02,39,5,26.902328,75.794257,26.952328,75.844257,Meal ,motorcycle ,19.81,68,0,haze,,Moderate,9.22,31.21666667
C061,KOLRES16DEL01,25,4,-22.539129,88.365507,22.549129,88.375507,Buffet ,motorcycle ,22.99,83,0,haze,,N/A,N/A,#VALUE!
9163,MUMRES13DEL01,37,3.9,19.178321,72.834715,19.288321,72.944715,Drinks ,motorcycle ,27.04,48,0,clear sky,,Very High,23.41,64.66666667
8D17,JAPRES15DEL02,25,4.8,26.891191,75.802083,26.971191,75.882083,Snack ,motorcycle ,19.99,68,0,haze,,High,14.46,44.88333333
319B,PUNERES02DEL01,22,4.6,18.55144,73.804855,18.62144,73.874855,Drinks ,scooter ,18.97,65,0,clear sky,,High,17.24,50.93333333
A89A,INDORES19DEL01,33,4.8,22.745536,75.893106,22.815536,75.963106,Snack ,scooter ,17.21,72,0,haze,,Moderate,16.14,34
8016,CHENRES18DEL01,35,4.3,12.981615,80.231598,12.991615,80.241598,Buffet ,scooter ,26.34,88,0,mist,,Low,2.33,17.55
E04B,GOARES09DEL01,30,4.8,15.303897,73.914336,15.413897,74.024336,Buffet ,scooter ,24.72,62,0,scattered clouds,,High,27,47.7
BAE1,JAPRES14DEL03,28,4.5,26.88842,75.800689,27.02842,75.940689,Snack ,scooter ,19.97,47,0,clear sky,,Very High,25.14,66.73333333
B799,MUMRES08DEL03,24,5,19.065838,72.832658,19.155838,72.922658,Snack ,scooter ,26.69,44,0,smoke,,Very High,20.12,68.03333333
D5CB,AURGRES05DEL02,20,4.7,19.875522,75.367127,19.895522,75.387127,Meal ,scooter ,17.94,82,0,mist,,Low,4.08,16.93333333
B51,PUNERES05DEL01,29,4.9,18.543626,73.905101,18.653626,74.015101,Meal ,motorcycle ,19.39,65,0,clear sky,,High,23.4,44.08333333
6FDF,SURRES010DEL02,28,4.8,21.17106,72.789292,21.19106,72.809292,Buffet ,motorcycle ,23.61,44,0,clear sky,,Very Low,3.3,12.11666667
CB60,AURGRES14DEL01,24,4.3,19.875016,75.322405,19.945016,75.392405,Meal ,motorcycle ,17.56,82,0,mist,,High,17.72,44.35
5C78,BANGRES01DEL03,32,3.7,12.933284,77.615428,13.023284,77.705428,Buffet ,scooter ,19.89,93,0,mist,,Very High,22.32,61.73333333
9.00E+51,MUMRES13DEL02,20,4.5,19.178321,72.834715,19.258321,72.914715,Drinks ,motorcycle ,26.71,44,0,smoke,,Very High,20.7,67.11666667
A47C,MUMRES19DEL01,33,3.8,19.131141,72.813074,19.241141,72.923074,Buffet ,scooter ,26.21,44,0,smoke,,Very High,32.73,94.6
70BD,PUNERES17DEL01,37,4.5,18.530963,73.828972,18.540963,73.838972,Buffet ,motorcycle ,19.18,65,0,clear sky,,Low,2.5,13.08333333
508D,SURRES20DEL02,24,5,21.15276,72.778059,21.28276,72.908059,Snack ,motorcycle ,22.83,43,0,clear sky,,Very High,24.01,52.58333333
C3DE,ALHRES20DEL01,26,4.9,25.454697,81.834492,25.564697,81.944492,Snack ,motorcycle ,21.86,55,0,clear sky,,Very High,20.18,54.9
23B5,RANCHIRES13DEL01,36,4,23.374989,85.335486,23.414989,85.375486,Meal ,motorcycle ,17.72,68,0,clear sky,,High,8.16,32.46666667
9ADD,BANGRES01DEL01,22,4.6,12.933284,77.615428,13.003284,77.685428,Drinks ,motorcycle ,19.55,92,0,mist,,Very High,18.77,61.21666667
5CE5,SURRES19DEL01,38,4.7,21.149669,72.772629,21.159669,72.782629,Buffet ,motorcycle ,23.97,44,0,clear sky,,Very Low,3.13,11.75
3.00E+02,HYDRES01DEL02,20,4.1,17.410371,78.437225,17.430371,78.457225,Buffet ,motorcycle ,21.53,65,0,broken clouds,,Low,5.97,22.15
6270,SURRES02DEL03,28,4.8,21.186608,72.794136,21.216608,72.824136,Buffet ,scooter ,23.21,43,0,clear sky,,Low,5.58,16.08333333
9223,JAPRES12DEL01,39,4.7,26.902908,75.792934,26.942908,75.832934,Snack ,motorcycle ,19.63,68,0,haze,,Moderate,7.81,26.13333333
1B44,HYDRES12DEL01,36,4.7,17.429585,78.392621,17.539585,78.502621,Drinks ,scooter ,21.13,64,0,overcast clouds,,Very High,26.16,61.45
4.00E+85,MYSRES16DEL03,31,4.4,12.316967,76.603067,12.406967,76.693067,Snack ,scooter ,18.42,82,0,scattered clouds,,High,20.42,38.13333333
A163,MUMRES15DEL01,26,4.4,19.176269,72.836721,19.216269,72.876721,Buffet ,motorcycle ,26.9,44,0,smoke,,Moderate,7.96,34.65
DD85,AURGRES06DEL02,34,4.7,19.874449,75.360232,19.924449,75.410232,Snack ,motorcycle ,17.77,82,0,mist,,Moderate,11.15,29.23333333
6ECA,INDORES14DEL01,25,4,22.761593,75.886362,22.871593,75.996362,Snack ,motorcycle ,17.32,53,0,clear sky,,High,24.35,47.45
9.00E+02,RANCHIRES04DEL01,32,4.6,23.359033,85.325347,23.399033,85.365347,Snack ,motorcycle ,17.67,68,0,clear sky,,Low,7.87,24.7
B67B,INDORES13DEL01,31,4.6,22.745049,75.892471,22.755049,75.902471,Meal ,scooter ,17.08,72,0,haze,,Very Low,2.29,10.38333333
1AB6,MYSRES010DEL01,33,4.6,12.321214,76.621094,12.391214,76.691094,Snack ,scooter ,18.3,77,0,scattered clouds,,Moderate,16.33,35.45
1955,MUMRES03DEL01,27,4.9,19.22384,72.841347,19.23384,72.851347,Drinks ,motorcycle ,26.93,44,0,smoke,,Very Low,2.23,23.01666667
9CF3,INDORES18DEL03,38,4.6,22.753839,75.897429,22.813838,75.957429,Snack ,scooter ,17.19,72,0,haze,,Moderate,14.29,35.3
1ED9,MUMRES20DEL03,38,4.8,19.103249,72.846749,19.133249,72.876749,Buffet ,motorcycle ,26.63,44,0,smoke,,Moderate,7.28,30.05
4F47,HYDRES04DEL03,36,4.9,17.411028,78.329645,17.501028,78.419645,Snack ,motorcycle ,21.33,65,0,broken clouds,,High,18.67,43.2
3B64,MUMRES20DEL03,28,4.8,19.103249,72.846749,19.163249,72.906749,Meal ,motorcycle ,26.69,44,0,smoke,,Very High,19.24,52.8
4A57,CHENRES17DEL03,33,4.9,13.045479,80.23311,13.075479,80.26311,Snack ,scooter ,26.41,88,0,mist,,Low,5.98,24.55
A91F,HYDRES04DEL01,22,4.6,17.411028,78.329645,17.421028,78.339645,Meal ,motorcycle ,21.23,67,0,broken clouds,,Very Low,1.83,7.45
5236,BANGRES11DEL02,24,4.7,12.934365,77.616155,12.984365,77.666155,Buffet ,motorcycle ,19.75,92,0,mist,,Moderate,11.94,34.25
AA5B,VADRES13DEL01,36,4.1,22.310237,73.158921,22.350237,73.198921,Drinks ,motorcycle ,22.84,43,0,clear sky,,Low,8.57,25.58333333
698F,CHENRES04DEL01,32,4.1,13.02978,80.208812,13.13978,80.318812,Drinks ,scooter ,26.4,88,0,broken clouds,,Very High,25.66,75.83333333
2BA0,BANGRES05DEL02,34,4.2,12.970324,77.645748,13.100324,77.775748,Meal ,scooter ,19.07,93,0,fog,,High,23.84,46.43333333
4FA8,RANCHIRES04DEL01,26,4.5,23.359033,85.325347,23.369033,85.335347,Buffet ,scooter ,17.74,68,0,clear sky,,Very Low,1.91,11.86666667
3938,MYSRES19DEL02,31,4.7,12.334022,76.618203,12.464022,76.748203,Snack ,motorcycle ,17.97,82,0,broken clouds,,High,26.11,40.01666667
7C85,JAPRES11DEL03,20,4.6,26.90294,75.793007,26.93294,75.823007,Buffet ,motorcycle ,19.7,64,0,haze,,Low,6.25,19.8
B81B,COIMBRES07DEL02,22,4.9,10.96185,76.971082,11.09185,77.101082,Buffet ,motorcycle ,25.08,73,0,mist,,Very High,26.09,51.26666667
1A0D,RANCHIRES08DEL01,26,4.8,23.353783,85.326967,23.393783,85.366967,Drinks ,motorcycle ,17.67,68,0,clear sky,,Low,7.47,28.18333333
2315,BANGRES07DEL03,29,4.6,12.978453,77.643685,13.068453,77.733685,Meal ,motorcycle ,19.22,93,0,fog,,High,18.06,38.21666667
3E2A,VADRES01DEL01,39,4.5,22.307898,73.167788,22.317898,73.177788,Snack ,motorcycle ,22.9,42,0,clear sky,,Low,5.22,16.2
6518,INDORES05DEL03,38,4.8,22.727021,75.884167,22.817021,75.974167,Drinks ,motorcycle ,17.23,53,0,clear sky,,High,19.08,42.78333333
B4D6,RANCHIRES13DEL02,24,4.9,23.374989,85.335486,23.424989,85.385486,Drinks ,motorcycle ,17.84,68,0,clear sky,,High,N/A,43.18333333
9BE1,SURRES18DEL01,30,4.6,21.149834,72.778666,21.189834,72.818666,Meal ,motorcycle ,23.44,44,0,clear sky,,Low,7.74,18.26666667
7A91,MYSRES18DEL02,23,4.8,12.337928,76.617889,12.467928,76.747889,Meal ,motorcycle ,17.86,77,0,scattered clouds,,High,24.54,33.68333333
4BD2,MUMRES06DEL02,23,4.7,19.055831,72.833984,19.135831,72.913984,Drinks ,scooter ,26.71,44,0,smoke,,High,21.67,58.23333333
F24,MUMRES16DEL01,37,4.3,19.120083,72.907385,19.230083,73.017385,Drinks ,motorcycle ,27.05,49,0,clear sky,,Very High,23.45,58.63333333
3E0C,BANGRES15DEL02,33,4.3,12.975377,77.696664,13.025377,77.746664,Drinks ,motorcycle ,19.58,93,0,mist,,High,16.27,46.78333333
88B3,VADRES16DEL01,38,4.6,0,0,0.04,0.04,Drinks ,scooter ,26.28,85,0,broken clouds,,N/A,N/A,#VALUE!
2762,COIMBRES19DEL02,34,5,11.022298,76.998349,11.152298,77.128349,Snack ,motorcycle ,25.27,73,0,mist,,High,31.46,51.75
17C0,MYSRES13DEL02,28,4.5,12.310972,76.659264,12.440972,76.789264,Buffet ,motorcycle ,17.65,82,0,broken clouds,,High,27.2,47.75
54BE,VADRES010DEL03,38,4.8,22.310329,73.169083,22.400329,73.259083,Meal ,motorcycle ,22.48,43,0,clear sky,,Moderate,17.99,29.33333333
47D6,MYSRES08DEL02,36,3.6,12.297954,76.665169,12.377954,76.745169,Drinks ,scooter ,18.28,82,0,broken clouds,,High,16.85,49.91666667
1BCD,CHENRES16DEL02,24,4.9,13.049645,80.242268,13.069645,80.262268,Drinks ,motorcycle ,26.4,88,0,mist,,Low,4.36,26.86666667
13DD,CHENRES07DEL01,39,4.3,13.081878,80.248519,13.151878,80.318519,Drinks ,motorcycle ,26.39,87,0,scattered clouds,,Very High,19.45,65.33333333
1.00E+92,CHENRES17DEL01,22,4,13.045479,80.23311,13.115479,80.30311,Buffet ,motorcycle ,26.39,88,0,broken clouds,,High,15.96,41.53333333
635F,INDORES17DEL03,38,4.8,22.761226,75.887522,22.791226,75.917522,Buffet ,motorcycle ,17.16,72,0,haze,,Low,7.01,23.76666667
92C5,BANGRES02DEL03,34,3.8,12.970221,77.645396,13.060221,77.735396,Snack ,motorcycle ,19.18,93,0,mist,,High,16.49,39.35
E0BC,BHPRES05DEL01,38,4.6,23.214459,77.434976,23.324459,77.544976,Meal ,motorcycle ,18.06,58,0,clear sky,,High,19.77,39.11666667
4.00E+64,CHENRES11DEL01,28,5,13.064181,80.236442,13.174181,80.346442,Snack ,motorcycle ,26.39,87,0,scattered clouds,,Very High,26.07,68.95
7132,HYDRES17DEL01,23,4.6,17.451976,78.385883,17.521976,78.455883,Snack ,motorcycle ,21.34,64,0,broken clouds,,High,14.76,43.06666667
5B72,INDORES03DEL01,21,4.5,22.751857,75.866699,22.791857,75.906699,Snack ,motorcycle ,17.16,72,0,haze,,Low,8.33,25.9
9334,MYSRES16DEL02,21,4.9,12.316967,76.603067,12.366967,76.653067,Meal ,motorcycle ,18.28,81,0,scattered clouds,,High,13.43,38.36666667
A528,RANCHIRES07DEL01,28,4.6,23.359407,85.325055,23.429407,85.395055,Snack ,motorcycle ,17.79,68,0,clear sky,,Very High,23.01,52.13333333
9B19,MYSRES14DEL02,21,4.7,0,0,0.08,0.08,Buffet ,motorcycle ,26.25,85,0,overcast clouds,,N/A,N/A,#VALUE!
5551,MUMRES11DEL03,32,4.5,18.994237,72.825553,19.024237,72.855553,Buffet ,motorcycle ,26.98,44,0,smoke,,Low,7.3,27.06666667
9341,JAPRES09DEL02,34,4.7,26.911378,75.789034,26.961378,75.839034,Drinks ,scooter ,19.42,68,0,haze,,Moderate,10.7,39.53333333
A527,INDORES14DEL01,32,4.2,22.761593,75.886362,22.801593,75.926362,Snack ,scooter ,17.14,72,0,haze,,Low,8.16,23.01666667
73FC,COIMBRES010DEL02,35,4.9,11.003008,76.97544,11.133009,77.10544,Buffet ,scooter ,25.15,73,0,mist,,High,24.82,50.93333333
9B62,PUNERES06DEL03,26,4.7,18.546258,73.904337,18.576258,73.934337,Drinks ,electric_scooter ,19.2,65,0,clear sky,,Low,6.27,26.51666667
6143,PUNERES14DEL03,38,4.9,18.516216,73.842527,18.606216,73.932527,Buffet ,electric_scooter ,19.04,65,0,clear sky,,High,16.59,42.06666667
22FA,CHENRES20DEL02,36,4.9,12.975996,80.221898,13.105996,80.351898,Buffet ,motorcycle ,26.47,87,0,scattered clouds,,Very High,29.7,75.73333333
C1B4,KOCRES12DEL03,30,4.7,9.988483,76.295211,10.048483,76.355211,Meal ,motorcycle ,23.92,88,0,mist,,Moderate,13.48,31.91666667
747A,MYSRES12DEL02,28,4.8,12.284747,76.625861,12.364747,76.705861,Buffet ,scooter ,18.24,81,0,broken clouds,,High,18.17,48.33333333
8679,JAPRES010DEL02,31,4.9,26.921411,75.793604,27.051411,75.923604,Meal ,motorcycle ,19.9,46,0,clear sky,,Very High,24.55,46.03333333
B73,CHENRES19DEL02,27,4.9,12.986047,80.218114,13.066047,80.298114,Buffet ,motorcycle ,26.5,87,0,mist,,High,19.18,43.23333333
2.40E+08,MYSRES18DEL01,25,4.6,12.337928,76.617889,12.447928,76.727889,Drinks ,motorcycle ,18.12,77,0,scattered clouds,,Moderate,20.68,38.38333333
52C1,MUMRES20DEL03,37,4.9,19.103249,72.846749,19.193249,72.936749,Buffet ,motorcycle ,25.73,44,0,smoke,,Very High,28.28,60.98333333
683C,VADRES06DEL01,39,4,22.31279,73.170283,22.32279,73.180283,Snack ,motorcycle ,22.9,42,0,clear sky,,Very Low,2.92,12.63333333
7183,MYSRES08DEL02,24,5,12.297954,76.665169,12.317954,76.685169,Meal ,scooter ,18.05,81,0,broken clouds,,Low,6.29,16.71666667
2230,COIMBRES18DEL03,31,4.4,11.02091,76.940432,11.11091,77.030432,Snack ,motorcycle ,25.03,73,0,mist,,High,19.17,41.8
1B4A,HYDRES06DEL03,29,4.6,17.455894,78.375467,17.485894,78.405467,Snack ,electric_scooter ,21.27,65,0,broken clouds,,Moderate,9.45,26.76666667
7E8A,BANGRES16DEL02,22,4.8,13.029198,77.570997,13.079198,77.620997,Buffet ,scooter ,19.23,93,0,mist,,Moderate,11.71,34.45
9450,PUNERES14DEL03,38,4.6,18.516216,73.842527,18.576216,73.902527,Snack ,motorcycle ,19.19,65,0,clear sky,,Moderate,11.93,32.8
B89,JAPRES14DEL01,29,4.5,26.88842,75.800689,26.92842,75.840689,Meal ,motorcycle ,19.64,68,0,haze,,Moderate,7.72,23.6
B3D4,INDORES07DEL03,29,4.8,22.722634,75.886959,22.782634,75.946959,Buffet ,electric_scooter ,17.08,72,0,haze,,High,13.17,34.11666667
7AA3,HYDRES14DEL03,22,4.3,17.426228,78.407495,17.456228,78.437495,Snack ,motorcycle ,21.43,65,0,broken clouds,,Moderate,8.03,26.8
CAB6,GOARES19DEL02,35,4.1,0,0,0.13,0.13,Snack ,motorcycle ,26.27,84,0,overcast clouds,,N/A,N/A,#VALUE!
20AA,CHENRES20DEL02,37,4.9,12.975996,80.221898,13.055996,80.301898,Snack ,scooter ,26.52,88,0,mist,,High,15.71,41.21666667
7A31,HYDRES16DEL01,33,4.8,17.440827,78.393391,17.450827,78.403391,Drinks ,motorcycle ,21.32,65,0,broken clouds,,Very Low,2.5,20.28333333
3.40E+03,HYDRES16DEL02,37,4.8,17.440827,78.393391,17.520827,78.473391,Buffet ,motorcycle ,21.3,64,0,broken clouds,,High,20.43,46.18333333
4A8A,PUNERES01DEL01,20,4.6,18.569156,73.774723,18.609156,73.814723,Buffet ,scooter ,19.25,65,0,clear sky,,High,12.49,33.01666667
B022,PUNERES14DEL02,25,4.6,18.516216,73.842527,18.566216,73.892527,Drinks ,motorcycle ,19.23,65,0,clear sky,,Moderate,9.73,34.08333333
7884,PUNERES04DEL01,24,4.8,18.51421,73.838429,18.58421,73.908429,Meal ,scooter ,19.16,65,0,clear sky,,Moderate,13.17,30.86666667
7FC4,INDORES05DEL02,25,4.6,22.727021,75.884167,22.747021,75.904167,Meal ,scooter ,17.08,72,0,haze,,Low,4.15,15.9
BFA6,BHPRES07DEL02,32,4.6,0,0,0.05,0.05,Drinks ,motorcycle ,26.26,85,0,overcast clouds,,N/A,N/A,#VALUE!
CB4A,KNPRES03DEL02,35,5,26.469003,80.316344,26.489003,80.336344,Snack ,scooter ,21.77,55,0,clear sky,,Low,4.4,17.7
DC99,GOARES20DEL01,24,4.5,0,0,0.07,0.07,Drinks ,scooter ,26.28,84,0,broken clouds,,N/A,N/A,#VALUE!
C5C9,AGRRES19DEL01,39,4.4,0,0,0.04,0.04,Drinks ,scooter ,26.28,85,0,broken clouds,,N/A,N/A,#VALUE!
98C7,JAPRES03DEL03,37,4.9,26.913483,75.803139,26.943483,75.833139,Meal ,motorcycle ,19.63,68,0,haze,,Low,5.63,18.88333333
6A7E,MYSRES02DEL02,24,4.9,12.304569,76.643622,12.384569,76.723622,Drinks ,motorcycle ,18.2,77,0,scattered clouds,,High,15.88,46.63333333
BFA1,ALHRES01DEL02,23,4.6,25.454648,81.834502,25.584648,81.964502,Snack ,motorcycle ,21.78,56,0,clear sky,,High,23.8,47.03333333
440,SURRES14DEL01,29,4.6,21.157729,72.768726,21.197729,72.808726,Meal ,motorcycle ,23.38,43,0,clear sky,,Low,7.87,17.45
6A8B,COIMBRES15DEL02,33,4.2,11.006686,76.951736,11.136686,77.081736,Drinks ,motorcycle ,25.14,73,0,mist,,Very High,26.2,58.11666667
64F0,PUNERES14DEL02,27,4.6,18.516216,73.842527,18.596216,73.922527,Meal ,scooter ,19.06,65,0,clear sky,,High,15,36.53333333
5D13,VADRES19DEL01,29,4.7,22.311844,73.165081,22.381844,73.235081,Snack ,motorcycle ,22.66,43,0,clear sky,,Moderate,13.87,29.81666667
4BFB,RANCHIRES09DEL02,24,2.6,23.351058,85.325731,23.481058,85.455731,Drinks ,scooter ,17.6,69,0,clear sky,,High,20.75,47.63333333
734E,JAPRES13DEL03,21,4.5,26.846156,75.8023,26.876156,75.8323,Buffet ,motorcycle ,19.44,64,0,haze,,Low,6.96,15.25
7175,MYSRES20DEL03,20,4.6,12.337978,76.616792,12.367978,76.646792,Buffet ,motorcycle ,18.28,81,0,scattered clouds,,Moderate,7.25,29.6
9580,COIMBRES16DEL01,22,4.9,11.010375,76.95295,11.080375,77.02295,Buffet ,motorcycle ,24.95,73,0,mist,,Moderate,13.7,34.85
61B2,SURRES01DEL02,28,4.9,21.186438,72.794115,21.236438,72.844115,Meal ,scooter ,22.99,43,0,clear sky,,Low,8.39,18.25
8B5F,MYSRES09DEL02,37,4.8,12.323194,76.630583,12.403194,76.710583,Drinks ,scooter ,18.43,82,0,broken clouds,,High,17.9,43.21666667
E26B,DEHRES16DEL03,33,4.6,30.342509,78.061187,30.372509,78.091187,Meal ,electric_scooter ,15.75,76,0,clear sky,,Low,5.24,14.63333333
4A19,SURRES09DEL03,39,4.7,21.175975,72.795503,21.235975,72.855503,Drinks ,motorcycle ,22.97,43,0,clear sky,,Moderate,11.41,34.83333333
B1BE,RANCHIRES19DEL03,24,4.4,23.333017,85.3172,23.423017,85.4072,Drinks ,motorcycle ,17.81,68,0,clear sky,,High,18.74,50.2
C09B,GOARES14DEL01,27,5,-15.157944,73.950889,15.197944,73.990889,Drinks ,scooter ,24.65,60,0,scattered clouds,,N/A,N/A,#VALUE!
69D7,INDORES16DEL02,22,4.6,22.744648,75.894377,22.874648,76.024377,Drinks ,scooter ,17.24,53,0,clear sky,,Very High,31.62,58.45
5701,INDORES15DEL01,32,4.9,22.760072,75.892574,22.800072,75.932574,Buffet ,motorcycle ,17.14,72,0,haze,,Moderate,9.33,25.45
C38F,ALHRES010DEL02,26,4.6,0,0,0.08,0.08,Buffet ,scooter ,26.25,85,0,overcast clouds,,N/A,N/A,#VALUE!
6168,RANCHIRES20DEL02,35,4.6,23.39925,85.390464,23.41925,85.410464,Snack ,motorcycle ,17.81,68,0,clear sky,,Very Low,3.1,10.45
36BB,MYSRES07DEL03,21,4.9,12.325461,76.632278,12.415461,76.722278,Meal ,motorcycle ,18.4,82,0,broken clouds,,Moderate,20.42,31.95
